,city,dispatch_date,slot,num_rider_id,orders,awb_pay,cpo
592,Bangalore,2024-04-04,evening,4581,2,70,35.0
593,Bangalore,2024-04-04,evening,4625,24,804,33.5
594,Bangalore,2024-04-04,evening,4681,8,344,43.0
595,Bangalore,2024-04-04,evening,4683,9,729,81.0
596,Bangalore,2024-04-04,evening,4684,16,745,46.5625
597,Bangalore,2024-04-04,evening,4728,16,648,40.5
598,Bangalore,2024-04-04,evening,4751,8,304,38.0
599,Bangalore,2024-04-04,evening,4798,31,1056,34.064516129032256
600,Bangalore,2024-04-04,evening,4821,20,740,37.0
601,Bangalore,2024-04-04,evening,4874,1,35,35.0
602,Bangalore,2024-04-04,evening,4948,13,780,60.0
603,Bangalore,2024-04-04,evening,4971,10,750,75.0
604,Bangalore,2024-04-04,evening,4984,14,572,40.857142857142854
605,Bangalore,2024-04-04,evening,5017,19,760,40.0
606,Bangalore,2024-04-04,evening,5087,19,748,39.36842105263158
607,Bangalore,2024-04-04,evening,5100,13,646,49.69230769230769
608,Bangalore,2024-04-04,evening,5107,9,807,89.66666666666667
609,Bangalore,2024-04-04,evening,5108,10,934,93.4
610,Bangalore,2024-04-04,evening,5167,10,720,72.0
611,Bangalore,2024-04-04,evening,5189,16,768,48.0
612,Bangalore,2024-04-04,evening,5206,8,304,38.0
613,Bangalore,2024-04-04,evening,5240,20,620,31.0
614,Bangalore,2024-04-04,evening,5306,7,756,108.0
615,Bangalore,2024-04-04,evening,5318,13,494,38.0
616,Bangalore,2024-04-04,evening,5329,18,774,43.0
617,Bangalore,2024-04-04,evening,5333,1,35,35.0
618,Bangalore,2024-04-04,evening,5335,22,860,39.09090909090909
619,Bangalore,2024-04-04,evening,5359,21,870,41.42857142857143
620,Bangalore,2024-04-04,evening,5360,23,805,35.0
621,Bangalore,2024-04-04,morning,840,70,2158,30.82857142857143
622,Bangalore,2024-04-04,morning,845,68,1972,29.0
623,Bangalore,2024-04-04,morning,850,45,1395,31.0
624,Bangalore,2024-04-04,morning,1000,64,2330,36.40625
625,Bangalore,2024-04-04,morning,1014,54,1566,29.0
626,Bangalore,2024-04-04,morning,1023,47,1345,28.617021276595743
627,Bangalore,2024-04-04,morning,1024,61,1731,28.37704918032787
628,Bangalore,2024-04-04,morning,1072,51,1581,31.0
629,Bangalore,2024-04-04,morning,1442,60,1763,29.383333333333333
630,Bangalore,2024-04-04,morning,1586,55,1632,29.672727272727272
631,Bangalore,2024-04-04,morning,1642,42,1176,28.0
632,Bangalore,2024-04-04,morning,1650,57,1596,28.0
633,Bangalore,2024-04-04,morning,1798,31,1058,34.12903225806452
634,Bangalore,2024-04-04,morning,1813,49,1805,36.83673469387755
635,Bangalore,2024-04-04,morning,1832,63,2052,32.57142857142857
636,Bangalore,2024-04-04,morning,1845,64,2240,35.0
637,Bangalore,2024-04-04,morning,1851,62,1790,28.870967741935484
638,Bangalore,2024-04-04,morning,1875,60,2325,38.75
639,Bangalore,2024-04-04,morning,1914,49,1421,29.0
640,Bangalore,2024-04-04,morning,1915,41,1272,31.024390243902438
641,Bangalore,2024-04-04,morning,1930,45,1395,31.0
642,Bangalore,2024-04-04,morning,1933,47,1870,39.787234042553195
643,Bangalore,2024-04-04,morning,1966,32,992,31.0
644,Bangalore,2024-04-04,morning,1967,44,1320,30.0
645,Bangalore,2024-04-04,morning,1972,36,1305,36.25
646,Bangalore,2024-04-04,morning,2054,97,2811,28.97938144329897
647,Bangalore,2024-04-04,morning,2087,25,795,31.8
648,Bangalore,2024-04-04,morning,2094,46,1380,30.0
649,Bangalore,2024-04-04,morning,2180,61,1769,29.0
650,Bangalore,2024-04-04,morning,2191,43,1239,28.813953488372093
651,Bangalore,2024-04-04,morning,2192,51,1830,35.88235294117647
652,Bangalore,2024-04-04,morning,2208,43,1333,31.0
653,Bangalore,2024-04-04,morning,2217,53,1583,29.867924528301888
654,Bangalore,2024-04-04,morning,2244,41,1157,28.21951219512195
655,Bangalore,2024-04-04,morning,2251,12,420,35.0
656,Bangalore,2024-04-04,morning,2262,44,1296,29.454545454545453
657,Bangalore,2024-04-04,morning,2414,97,3067,31.61855670103093
658,Bangalore,2024-04-04,morning,2440,45,1620,36.0
659,Bangalore,2024-04-04,morning,2444,56,1960,35.0
660,Bangalore,2024-04-04,morning,2698,25,950,38.0
661,Bangalore,2024-04-04,morning,2699,56,2208,39.42857142857143
662,Bangalore,2024-04-04,morning,2733,34,1292,38.0
663,Bangalore,2024-04-04,morning,2809,41,1435,35.0
664,Bangalore,2024-04-04,morning,2916,47,1491,31.72340425531915
665,Bangalore,2024-04-04,morning,3043,41,1276,31.121951219512194
666,Bangalore,2024-04-04,morning,3153,57,1653,29.0
667,Bangalore,2024-04-04,morning,3178,52,1910,36.73076923076923
668,Bangalore,2024-04-04,morning,3179,36,1260,35.0
669,Bangalore,2024-04-04,morning,3191,29,870,30.0
670,Bangalore,2024-04-04,morning,3205,55,1622,29.490909090909092
671,Bangalore,2024-04-04,morning,3227,46,1745,37.93478260869565
672,Bangalore,2024-04-04,morning,3327,50,1418,28.36
673,Bangalore,2024-04-04,morning,3471,42,1218,29.0
674,Bangalore,2024-04-04,morning,3587,43,1265,29.41860465116279
675,Bangalore,2024-04-04,morning,3690,53,1537,29.0
676,Bangalore,2024-04-04,morning,3924,24,696,29.0
677,Bangalore,2024-04-04,morning,3935,59,1875,31.779661016949152
678,Bangalore,2024-04-04,morning,3969,63,2514,39.904761904761905
679,Bangalore,2024-04-04,morning,3970,19,762,40.10526315789474
680,Bangalore,2024-04-04,morning,3972,7,426,60.857142857142854
681,Bangalore,2024-04-04,morning,4251,29,1102,38.0
682,Bangalore,2024-04-04,morning,4268,25,950,38.0
683,Bangalore,2024-04-04,morning,4272,44,1712,38.90909090909091
684,Bangalore,2024-04-04,morning,4297,50,1550,31.0
685,Bangalore,2024-04-04,morning,4302,53,1855,35.0
686,Bangalore,2024-04-04,morning,4342,54,1647,30.5
687,Bangalore,2024-04-04,morning,4407,20,840,42.0
688,Bangalore,2024-04-04,morning,4447,32,1216,38.0
689,Bangalore,2024-04-04,morning,4461,42,1636,38.95238095238095
690,Bangalore,2024-04-04,morning,4462,45,1710,38.0
